Date,Team1,Score1,Wkt1,Team2,Score2,Wkt2,Toss Winner,Toss Decision,Winner
2005-02-17,New Zealand,202,5,Australia,202,10,Australia,bat,Australia
2005-06-13,England,173,8,Australia,173,10,England,bat,England
2005-10-21,South Africa,125,10,New Zealand,125,5,New Zealand,field,New Zealand
2006-01-09,Australia,194,3,South Africa,194,10,Australia,bat,Australia
2006-02-16,New Zealand,116,7,West Indies,116,8,New Zealand,field,NaN
2006-02-24,South Africa,184,4,Australia,184,7,South Africa,bat,South Africa
2006-06-15,England,151,10,Sri Lanka,151,5,Sri Lanka,bat,Sri Lanka
2006-08-28,England,133,7,Pakistan,133,5,England,bat,Pakistan
2006-12-01,South Africa,113,9,India,113,4,South Africa,bat,India
2006-12-22,New Zealand,150,8,Sri Lanka,150,1,New Zealand,bat,Sri Lanka
2006-12-26,New Zealand,103,10,Sri Lanka,103,5,New Zealand,field,New Zealand
2007-01-09,Australia,217,5,England,217,9,Australia,bat,Australia
2007-06-28,England,192,8,West Indies,192,7,West Indies,bat,West Indies
2007-06-29,England,162,7,West Indies,162,5,West Indies,bat,England
2007-09-01,Kenya,132,7,Bangladesh,132,5,Bangladesh,field,Bangladesh
2007-09-02,Bangladesh,188,7,Pakistan,188,7,Bangladesh,field,Pakistan
2007-09-04,Kenya,82,10,Pakistan,82,2,Kenya,bat,Pakistan
2007-09-11,South Africa,188,6,West Indies,188,2,South Africa,field,South Africa
2007-09-12,Kenya,65,10,New Zealand,65,1,New Zealand,field,New Zealand
2007-09-12,Australia,131,9,Zimbabwe,131,5,Australia,bat,Zimbabwe
2007-09-12,Pakistan,165,9,Scotland,165,10,Scotland,field,Pakistan
2007-09-13,Bangladesh,154,8,West Indies,154,4,Bangladesh,field,Bangladesh
2007-09-13,England,184,9,Zimbabwe,184,7,England,bat,England
2007-09-14,Australia,132,10,England,132,2,England,bat,Australia
2007-09-14,India,136,9,Pakistan,136,7,Pakistan,field,NaN
2007-09-14,Kenya,248,6,Sri Lanka,248,9,Kenya,field,Sri Lanka
2007-09-15,New Zealand,151,7,Sri Lanka,151,3,New Zealand,bat,Sri Lanka
2007-09-15,South Africa,130,10,Bangladesh,130,3,South Africa,field,South Africa
2007-09-16,South Africa,145,8,England,145,7,England,field,South Africa
2007-09-16,Australia,104,8,Bangladesh,104,1,Australia,field,Australia
2007-09-16,India,180,10,New Zealand,180,9,India,field,New Zealand
2007-09-17,Pakistan,180,6,Sri Lanka,180,9,Sri Lanka,field,Pakistan
2007-09-18,Australia,157,7,Pakistan,157,4,Pakistan,field,Pakistan
2007-09-18,England,157,9,New Zealand,157,8,England,field,New Zealand
2007-09-18,Bangladesh,137,5,Sri Lanka,137,10,Bangladesh,field,Sri Lanka
2007-09-19,England,200,4,India,200,6,India,bat,India
2007-09-19,South Africa,145,8,New Zealand,145,4,South Africa,field,South Africa
2007-09-20,Bangladesh,126,10,Pakistan,126,6,Pakistan,field,Pakistan
2007-09-20,Australia,97,10,Sri Lanka,97,0,Australia,field,Australia
2007-09-20,South Africa,140,5,India,140,9,India,bat,India
